market,commodity,model_track,weight,val_rows,val_mae,val_naive_mae,test_mae,test_mape,naive_test_mae,naive_test_mape,blended_test_mae,blended_test_mape,beats_naive
Kibra (Nairobi),Maize flour,lstm,0.0,1,3.3316950547695185,2.5,2.080598091185095,3.6513047852535063,1.25,,1.25,2.1739130434782608,True
Kibra (Nairobi),Rice,lstm,0.0,1,0.36022605776786065,0.0,0.5253138837218216,0.5253138837218216,0.0,,0.0,0.0,True
Kibra (Nairobi),Salt,lstm,0.0,1,1.895989179611206,0.0,1.7979514300823212,3.5959028601646423,0.0,,0.0,0.0,True
Kibra (Nairobi),Sorghum,lstm,0.0,1,0.1469875121116644,0.0,0.23690189212560853,0.29612736515701066,0.0,,0.0,0.0,True
Kibra (Nairobi),Sugar,lstm,0.0,1,29.742854965925233,28.330000000000013,4.653927514553061,3.7265298380161127,4.584999999999994,,4.584999999999994,3.7035321821036056,True
Kibra (Nairobi),Wheat flour,lstm,0.0,1,2.0540194094181032,4.170000000000002,1.6287432792782823,2.412953006338196,0.41499999999999915,,0.41499999999999915,0.6148148148148135,True
Mathare (Nairobi),Meat (beef),lstm,0.0,1,28.040210900306647,0.0,25.710218812227254,4.674585238586773,0.0,,0.0,0.0,True
Mukuru (Nairobi),Beans (dry),lstm,0.0,1,3.1367592370510096,0.0,3.136762506365784,2.61396875530482,0.0,,0.0,0.0,True
Mukuru (Nairobi),Maize,lstm,0.0,1,9.774583060145382,10.0,4.774583060145382,7.957638433575637,5.0,,5.0,8.333333333333332,True
Mukuru (Nairobi),Maize flour,lstm,0.0,1,14.59738460659981,15.0,5.402615393400183,9.004358989000304,5.0,,5.0,8.333333333333332,True
Mukuru (Nairobi),Meat (beef),lstm,0.0,1,18.367132978439372,0.0,18.36714362621308,3.339480659311469,0.0,,0.0,0.0,True
Mukuru (Nairobi),Potatoes (Irish),lstm,0.0,1,14.782467936277392,15.0,30.217532639503474,86.3358075414385,30.0,,30.0,85.71428571428571,True
Mukuru (Nairobi),Rice,lstm,0.0,1,0.22725053608417056,0.0,0.22725053608417056,0.22725053608417056,0.0,,0.0,0.0,True
Mukuru (Nairobi),Salt,lstm,0.0,1,1.7773459821939426,0.0,1.7773459821939426,3.554691964387885,0.0,,0.0,0.0,True
Mukuru (Nairobi),Sorghum,lstm,0.0,1,5.165985802412038,10.0,4.834015588164334,6.042519485205418,0.0,,0.0,0.0,True
Mukuru (Nairobi),Sugar,lstm,0.0,1,19.252168428897846,18.849999999999994,1.9478315711021423,1.671958430130594,2.3499999999999943,,2.3499999999999943,2.017167381974244,True
Mukuru (Nairobi),Wheat flour,lstm,0.0,1,0.3067904132604582,0.0,0.3067904132604582,0.43827201894351175,0.0,,0.0,0.0,True
